Code,Description,Category,Price Excl.,Price Incl.,Avg Cost,Last Cost,Qty On Hand,Active
F0860-12016,M12 x 16 Set Screw Stainless Steel Grade 316 (A4),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4521-12016,M12 x 16 Socket Head Cap Screw Gr 12.9 E/G DIN912 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4520-12016,M12 x 16 Socket Head Cap Screw Gr 12.9 S/C DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0531-12160,M12 x 160 Bolt High Tensile Grade 8.8 E/G DIN,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0532-12160,M12 x 160 Bolt High Tensile Grade 8.8 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0530-12160,M12 x 160 Bolt High Tensile Grade 8.8 S/C ISO4014,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0600-12160,M12 x 160 Bolt Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F37012160,M12 x 160 Chemical Stud EN8 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0781-12160,M12 x 160 Set Screw High Tensile Grade 8.8 E/G,Fastners,0.0000,0.0000,41.8000,41.8000,2.0000,Yes
F0850-12160,M12 x 160 Set Screw Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4521-12160,M12 x 160 Socket Head Cap Screw Gr 12.9 E/G DIN912 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4520-12160,M12 x 160 Socket Head Cap Screw Gr 12.9 S/C DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F8821-120160,M12 x 160OD U-Bolt Mild Steel E/G (for HDPE Pipes) c/w 2 nuts & 2 Washers,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0531-12170,M12 x 170 Bolt High Tensile Grade 8.8 E/G DIN,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0600-12170,M12 x 170 Bolt Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
